"Family","Genus","Species","CTmax","CTmin","Lat_max","Long_max","Lat_min","Long_min","CTmax_Tmax","CTmax_Tmin","CTmax_Tmean","CTmax_STR","CTmin_Tmax","CTmin_Tmin","CTmin_Tmean","CTmin_STR","Group","CTrange","Chelsa_STmax","Chelsa_STmin","Chelsa_STR","Temp_block"
"Sciuridae","Spermophilus","beecheyi",30,25,33.41,-117.47,33.41,-117.47,28.12,7.22,17.5,20.89,28.12,7.22,17.5,20.89,"Mammal",5,26.8433333333333,8.44333333333333,18.4,"Block_1"
"Sciuridae","Ammospermophilus","leucurus",34,31,34.6,-117.85,34.6,-117.85,36.64,0.45,16.46,36.18,36.64,0.45,16.46,36.18,"Mammal",3,35.2633333333333,4.99,30.2733333333333,"Block_1"
"Sciuridae","Cynomys","ludovicianus",35,30,46.9,-112.1,46.9,-112.1,28.36,-10.78,6.09,39.14,28.36,-10.78,6.09,39.14,"Mammal",5,28.7166666666667,-9.44333333333334,38.16,"Block_1"
"Sciuridae","Tamias","striatus",32,28.5,42.45,-76.5,42.45,-76.5,26.86,-8.91,8.47,35.77,26.86,-8.91,8.47,35.77,"Mammal",3.5,27.6766666666667,-7.13,34.8066666666667,"Block_1"
"Sciuridae","Tamias","minimus",34,26,38.96,-106.99,38.96,-106.99,23.26,-19.55,0.88,42.82,23.26,-19.55,0.88,42.82,"Mammal",8,21.0733333333333,-14.2366666666667,35.31,"Block_1"
"Sciuridae","Tamias","merriami",35,29,34.79,-119,34.79,-119,30.81,1.68,14.37,29.13,30.81,1.68,14.37,29.13,"Mammal",6,26.7166666666667,-2.72,29.4366666666667,"Block_1"
"Spalacidae","Cannomys","badius",34.5,26.74,15.52,100.59,15.52,100.59,33.22,18.45,28.16,14.76,33.22,18.45,28.16,14.76,"Mammal",7.76,32.3266666666667,20.6066666666667,11.72,"Block_16"
"Bovidae","Madoqua","kirkii",35,25,-29.52,30.54,-29.52,30.54,27.22,8.03,19.51,19.19,27.22,8.03,19.51,19.19,"Mammal",10,19.5866666666667,16.06,3.5266666666667,"Block_19"
"Bovidae","Kobus","ellipsiprymnus",37,13,-0.16,30.02,-0.16,30.02,27.98,14.21,21.29,13.77,27.98,14.21,21.29,13.77,"Mammal",24,28.59,19.9166666666667,8.6733333333333,"Block_19"
"Tragulidae","Tragulus","javanicus",29,26.6,3.45,101.41,3.45,101.41,31.96,23.17,27.92,8.79,31.96,23.17,27.92,8.79,"Mammal",2.4,31.4333333333333,22.89,8.5433333333333,"Block_16"
"Tupaiidae","Tupaia","belangeri",35,30,26.24,102.35,26.24,102.35,25.79,1.56,16.37,24.23,25.79,1.56,16.37,24.23,"Mammal",5,25.53,5.65333333333333,19.8766666666667,"Block_16"
"Tayassuidae","Pecari","tajacu",35,25,32.14,-111.05,32.14,-111.05,38.15,5.37,21.58,32.78,38.15,5.37,21.58,32.78,"Mammal",10,37.2066666666667,4.76333333333334,32.4433333333334,"Block_1"
"Orycteropodidae","Orycteropus","afer",35,27,-7.245381,19.24195,-7.245381,19.24195,28.44,13.95,23.09,14.5,28.44,13.95,23.09,14.5,"Mammal",8,32.1,18.81,13.29,"Block_19"
"Testudinidae","Testudo","hermanni",42,6,40.88,17.15,40.88,17.15,30.64,3.99,15.54,26.65,30.64,3.99,15.54,26.65,"Reptile",36,28.9633333333333,4.87666666666667,24.0866666666666,"Block_10"
"Agamidae","Laudakia","stellio",45,12.5,33.18,35.74,33.18,35.74,31.16,3.62,16.54,27.54,31.16,3.62,16.54,27.54,"Reptile",32.5,29.9933333333333,1.10666666666667,28.8866666666666,"Block_13"
"Agamidae","Amphibolurus","muricatus",42.3,3,-30.52,151.65,-30.52,151.65,27.95,1.46,14.57,26.49,27.95,1.46,14.57,26.49,"Reptile",39.3,14.5066666666667,11.26,3.2466666666667,"Block_26"
"Agamidae","Lophognathus","gilberti",41.8,2.7,-16.85,130.23,-16.85,130.23,36.65,11.35,26.86,25.31,36.65,11.35,26.86,25.31,"Reptile",39.1,28.15,25.2066666666667,2.9433333333333,"Block_26"
"Agamidae","Moloch","horridus",42.5,3.5,-28.13,123.92,-28.13,123.92,36.77,5.11,20.78,31.67,36.77,5.11,20.78,31.67,"Reptile",39,21.33,18.6933333333333,2.6366666666667,"Block_26"
"Agamidae","Rankinia","diemensis",44.8,3.1,-35.4,148.75,-35.4,148.75,28.34,0.07,12.58,28.27,28.34,0.07,12.58,28.27,"Reptile",41.7,13.4633333333333,8.58333333333333,4.87999999999997,"Block_26"
"Anguidae","Elgaria","multicarinata",41.4,2.2,34,-118.9,34,-118.9,28.38,5.96,16.43,22.42,28.38,5.96,16.43,22.42,"Reptile",39.2,22.36,11.12,11.24,"Block_1"
"Chamaeleonidae","Chamaeleo","bitaeniatus",42.1,4.4,-2.07,36.82,-2.07,36.82,28.18,12.4,20.41,15.78,28.18,12.4,20.41,15.78,"Reptile",37.7,23.12,15.6933333333333,7.4266666666667,"Block_19"
"Chamaeleonidae","Chamaeleo","dilepis",43.6,7.6,-2.42,37.97,-2.42,37.97,29.88,14.83,23.15,15.05,29.88,14.83,23.15,15.05,"Reptile",36,26.83,18.8433333333333,7.9866666666667,"Block_19"
"Chamaeleonidae","Chamaeleo","ellioti",41.8,3.5,0.2,35.1,0.2,35.1,22.37,10.64,17.69,11.73,22.37,10.64,17.69,11.73,"Reptile",38.3,20.7166666666667,12.1166666666667,8.6,"Block_12"
"Chamaeleonidae","Chamaeleo","hoehnelii",40.8,5.1,-1.28,36.82,-1.28,36.82,26.25,11.04,18.73,15.22,26.25,11.04,18.73,15.22,"Reptile",35.7,21.62,13.8966666666667,7.7233333333333,"Block_19"
"Chamaeleonidae","Chamaeleo","jacksonii",41,5.3,-1.28,36.82,-1.28,36.82,26.25,11.04,18.73,15.22,26.25,11.04,18.73,15.22,"Reptile",35.7,21.62,13.8966666666667,7.7233333333333,"Block_19"
"Chamaeleonidae","Chamaeleo","schubotzi",41.6,1.4,-0.17,37.33,-0.17,37.33,20.76,7.56,13.62,13.2,20.76,7.56,13.62,13.2,"Reptile",40.2,5.46666666666666,0.386666666666667,5.07999999999999,"Block_19"
"Colubridae","Thamnophis","ordinoides",38.9,4.2,44.56,-123.26,44.56,-123.26,26.47,1.92,11.36,24.55,26.47,1.92,11.36,24.55,"Reptile",34.7,28.53,2.03333333333334,26.4966666666667,"Block_1"
"Colubridae","Thamnophis","sirtalis",38.9,4.2,44.56,-123.26,44.56,-123.26,26.47,1.92,11.36,24.55,26.47,1.92,11.36,24.55,"Reptile",34.7,28.53,2.03333333333334,26.4966666666667,"Block_1"
"Cordylidae","Cordylus","cordylus",41.6,7.5,-33.77,18.78,-33.77,18.78,28.54,7.18,17.57,21.36,28.54,7.18,17.57,21.36,"Reptile",34.1,16.4766666666667,16.0533333333333,0.4233333333334,"Block_19"
"Cordylidae","Cordylus","niger",41,7.4,-32.98,17.87,-32.98,17.87,23.89,9.9,16.68,14,23.89,9.9,16.68,14,"Reptile",33.6,17.1333333333333,15.4333333333333,1.7,"Block_19"
"Cordylidae","Cordylus","oelofseni",40.8,6.3,-34.03,19,-34.03,19,26.47,7.38,16.6,19.09,26.47,7.38,16.6,19.09,"Reptile",34.5,12.82,11.29,1.53,"Block_19"
"Cordylidae","Platysaurus","intermedius",44.8,8.8,-24.58,31.18,-24.58,31.18,31.75,7.4,21.85,24.35,31.75,7.4,21.85,24.35,"Reptile",36,22.7433333333333,19.6833333333333,3.06,"Block_19"
"Elapidae","Hemachatus","haemachatus",43.1,3.7,-26.14,28.25,-26.14,28.25,27.23,2.16,16.87,25.06,27.23,2.16,16.87,25.06,"Reptile",39.4,16.8566666666667,14.4833333333333,2.3733333333334,"Block_19"
"Elapidae","Austrelaps","superbus",41.2,3,-38.3,146.2,-38.3,146.2,25.14,4.82,13.79,20.32,25.14,4.82,13.79,20.32,"Reptile",38.2,13.09,10.9633333333333,2.1266666666667,"Block_26"
"Elapidae","Notechis","scutatus",38,2.2,-36.2,150.1,-36.2,150.1,25.93,5.34,15.87,20.59,25.93,5.34,15.87,20.59,"Reptile",35.8,17.8566666666667,14.9833333333333,2.8733333333334,"Block_26"
"Elapidae","Pseudonaja","textilis",42.4,3.5,-30.22,145.79,-30.22,145.79,36.42,5.29,20.64,31.13,36.42,5.29,20.64,31.13,"Reptile",38.9,23.3566666666667,17.06,6.2966666666667,"Block_26"
"Eublepharidae","Coleonyx","brevis",41.6,8.5,29.18,-102.96,29.18,-102.96,35.46,1.71,19.76,33.75,35.46,1.71,19.76,33.75,"Reptile",33.1,37.8433333333333,7.60333333333333,30.24,"Block_1"
"Eublepharidae","Coleonyx","variegatus",43,7.6,34.12,-115.83,34.12,-115.83,40.78,4.18,21.26,36.61,40.78,4.18,21.26,36.61,"Reptile",35.4,40.68,6.84333333333334,33.8366666666667,"Block_1"
"Gekkonidae","Hemidactylus","frenatus",42.4,11.9,21.97,-159.72,21.97,-159.72,28.34,18.27,23.73,10.06,28.34,18.27,23.73,10.06,"Reptile",30.5,27.9233333333333,21.11,6.8133333333333,"Block_3"
"Gekkonidae","Hemidactylus","turcicus",41.1,10.5,29.18,-102.96,29.18,-102.96,35.46,1.71,19.76,33.75,35.46,1.71,19.76,33.75,"Reptile",30.6,37.8433333333333,7.60333333333333,30.24,"Block_1"
"Gekkonidae","Lepidodactylus","lugubris",40.2,11.5,21.97,-159.72,21.97,-159.72,28.34,18.27,23.73,10.06,28.34,18.27,23.73,10.06,"Reptile",28.7,27.9233333333333,21.11,6.8133333333333,"Block_3"
"Gekkonidae","Gehyra","variegata",43.8,6,-27.5,140.5,-27.5,140.5,39.14,7.1,23.34,32.04,39.14,7.1,23.34,32.04,"Reptile",37.8,25.52,19.43,6.09,"Block_26"
"Gekkonidae","Heteronotia","binoei",40.6,9.6,-22.82,133.38,-22.82,133.38,36.01,5.37,21.84,30.65,36.01,5.37,21.84,30.65,"Reptile",31,23.1866666666667,20.9466666666667,2.24,"Block_26"
"Iguanidae","Sceloporus","undulatus",40.4,11.4,33.6,-81.7,33.6,-81.7,33.78,1.05,17.59,32.73,33.78,1.05,17.59,32.73,"Reptile",29,32.5233333333333,3.87333333333333,28.65,"Block_1"
"Iguanidae","Anolis","barbouri",34.9,11.7,18.25,-71.22,18.25,-71.22,31.42,17.01,24.8,14.41,31.42,17.01,24.8,14.41,"Reptile",23.2,32.16,20.9333333333333,11.2266666666667,"Block_1"
"Iguanidae","Cophosaurus","texanus",44.4,15.4,29.21,-102.89,29.21,-102.89,35.46,1.71,19.76,33.75,35.46,1.71,19.76,33.75,"Reptile",29,36.1066666666667,6.57333333333334,29.5333333333334,"Block_1"
"Iguanidae","Sceloporus","magister",43,-3,33.25,-111.63,33.25,-111.63,41.05,4.7,22.16,36.35,41.05,4.7,22.16,36.35,"Reptile",46,40.82,5.63,35.19,"Block_1"
"Iguanidae","Liolaemus","abaucan",47.3,15.41,-27.25,-67.42,-27.25,-67.42,20.03,-5.16,9.39,25.19,20.03,-5.16,9.39,25.19,"Reptile",31.89,11.25,7.44333333333333,3.80666666666667,"Block_18"
"Iguanidae","Liolaemus","albiceps",44.33,7.05,-24.32,-66.15,-24.32,-66.15,15.86,-9.1,6.21,24.96,15.86,-9.1,6.21,24.96,"Reptile",37.28,8.55333333333333,3.38333333333333,5.17,"Block_18"
"Iguanidae","Liolaemus","bibronii",44.53,8.49,-40.27,-68.23,-40.27,-68.23,27.7,-3.76,10.57,31.46,27.7,-3.76,10.57,31.46,"Reptile",36.04,11.8833333333333,6.97333333333333,4.90999999999997,"Block_18"
"Iguanidae","Liolaemus","boulengeri",43.99,9.4,-42.39,-64.59,-42.39,-64.59,29.65,1.4,14.54,28.25,29.65,1.4,14.54,28.25,"Reptile",34.59,17.1433333333333,11.7733333333333,5.37,"Block_18"
"Iguanidae","Liolaemus","canqueli",44.6,6.99,-44.04,-68.36,-44.04,-68.36,26.14,-0.9,11.52,27.04,26.14,-0.9,11.52,27.04,"Reptile",37.61,13.6466666666667,8.07333333333333,5.57333333333337,"Block_18"
"Iguanidae","Liolaemus","capillitas",43.7,7.47,-29.73,-67.75,-29.73,-67.75,29.25,-0.26,15.44,29.5,29.25,-0.26,15.44,29.5,"Reptile",36.23,15.8133333333333,15.1966666666667,0.616666666666601,"Block_18"
"Iguanidae","Liolaemus","chacoensis",44.1,14.9,-28.8,-66.94,-28.8,-66.94,32.4,1.87,18.71,30.53,32.4,1.87,18.71,30.53,"Reptile",29.2,17.4733333333333,16.5766666666667,0.896666666666601,"Block_18"
"Iguanidae","Liolaemus","cuyanus",45.7,12,-28.18,-67.11,-28.18,-67.11,31.18,1.69,18.01,29.49,31.18,1.69,18.01,29.49,"Reptile",33.7,19.9133333333333,19.6766666666667,0.236666666666597,"Block_18"
"Iguanidae","Liolaemus","darwinii",44.68,10.11,-29.51,-67.57,-29.51,-67.57,29.25,-0.26,15.44,29.5,29.25,-0.26,15.44,29.5,"Reptile",34.57,16.78,15.7,1.08,"Block_18"
"Iguanidae","Liolaemus","dorbignyi",43.91,8.83,-24.14,-66.67,-24.14,-66.67,14.06,-9.98,4.79,24.05,14.06,-9.98,4.79,24.05,"Reptile",35.08,6.23666666666666,2.38,3.85666666666666,"Block_18"
"Iguanidae","Liolaemus","elongatus",45.1,7.68,-41.88,-69.37,-41.88,-69.37,24.03,-4.87,8.02,28.9,24.03,-4.87,8.02,28.9,"Reptile",37.42,8.67,3.27333333333333,5.39666666666667,"Block_18"
"Iguanidae","Liolaemus","fitzingerii",44.45,8.24,-43.49,-65.47,-43.49,-65.47,29.28,0.91,14.09,28.37,29.28,0.91,14.09,28.37,"Reptile",36.21,15.0666666666667,10.24,4.8266666666667,"Block_18"
"Iguanidae","Liolaemus","irregularis",44.98,6.96,-24.25,-66.35,-24.25,-66.35,15.86,-9.1,6.21,24.96,15.86,-9.1,6.21,24.96,"Reptile",38.02,8.84,3.50666666666667,5.33333333333333,"Block_18"
"Iguanidae","Liolaemus","kingii",44.5,7.01,-45.41,-67.56,-45.41,-67.56,25.46,0.26,11.73,25.19,25.46,0.26,11.73,25.19,"Reptile",37.49,10.4166666666667,6.50333333333333,3.91333333333337,"Block_18"
"Iguanidae","Liolaemus","koslowskyi",46.1,13.22,-28.8,-66.56,-28.8,-66.56,32.4,1.87,18.71,30.53,32.4,1.87,18.71,30.53,"Reptile",32.88,21.0733333333333,19.0733333333333,2,"Block_18"
"Iguanidae","Liolaemus","kriegi",43.67,7.6,-42.08,-69.52,-42.08,-69.52,23.86,-3.93,8.53,27.8,23.86,-3.93,8.53,27.8,"Reptile",36.07,8.87333333333333,3.84666666666666,5.02666666666667,"Block_18"
"Iguanidae","Liolaemus","laurenti",46.18,12.2,-30.12,-67.4,-30.12,-67.4,33.35,2.67,18.87,30.68,33.35,2.67,18.87,30.68,"Reptile",33.98,17.4033333333333,14.5966666666667,2.8066666666666,"Block_18"
"Iguanidae","Liolaemus","melanops",44.94,5.65,-42.27,-64.08,-42.27,-64.08,29.31,1.54,14.43,27.77,29.31,1.54,14.43,27.77,"Reptile",39.29,16.85,11.57,5.28,"Block_18"
"Iguanidae","Liolaemus","multicolor",44.7,8.06,-40.44,-68.37,-40.44,-68.37,27.7,-3.76,10.57,31.46,27.7,-3.76,10.57,31.46,"Reptile",36.64,11.3533333333333,6.26666666666667,5.08666666666663,"Block_18"
"Iguanidae","Liolaemus","multimaculatus",43.83,8.93,-38.54,-58.55,-38.54,-58.55,27.31,2.69,14.27,24.62,27.31,2.69,14.27,24.62,"Reptile",34.9,17.53,11.9466666666667,5.5833333333333,"Block_18"
"Iguanidae","Liolaemus","olongasta",44.58,11.85,-29.82,-67.95,-29.82,-67.95,29.25,-0.26,15.44,29.5,29.25,-0.26,15.44,29.5,"Reptile",32.73,18.0066666666667,17.13,0.876666666666701,"Block_18"
"Iguanidae","Liolaemus","petrophilus",45.23,7.31,-42.26,-68.41,-42.26,-68.41,24.6,-5.05,8.38,29.66,24.6,-5.05,8.38,29.66,"Reptile",37.92,7.94666666666667,3.15333333333333,4.79333333333334,"Block_18"
"Iguanidae","Liolaemus","poecilochromus",44.16,9.35,-27.52,-68.13,-27.52,-68.13,15.74,-6.99,5.93,22.73,15.74,-6.99,5.93,22.73,"Reptile",34.81,5.15,5.01,0.140000000000001,"Block_18"
"Iguanidae","Liolaemus","pseudoanomalus",45.93,12.19,-28.8,-66.94,-28.8,-66.94,32.4,1.87,18.71,30.53,32.4,1.87,18.71,30.53,"Reptile",33.74,17.4733333333333,16.5766666666667,0.896666666666601,"Block_18"
"Iguanidae","Liolaemus","quilmes",44.69,8.46,-26.59,-66.16,-26.59,-66.16,23.47,-3.16,12.26,26.63,23.47,-3.16,12.26,26.63,"Reptile",36.23,12.98,9.06666666666667,3.91333333333333,"Block_18"
"Iguanidae","Liolaemus","riojanus",45.2,10.7,-30.2,-67.67,-30.2,-67.67,31.42,0.84,16.92,30.58,31.42,0.84,16.92,30.58,"Reptile",34.5,16.6166666666667,15.7233333333333,0.893333333333398,"Block_18"
"Iguanidae","Liolaemus","robertmertensi",43,14.07,-28.81,-66.74,-28.81,-66.74,32.4,1.87,18.71,30.53,32.4,1.87,18.71,30.53,"Reptile",28.93,20.5866666666667,18.3133333333333,2.2733333333334,"Block_18"
"Iguanidae","Liolaemus","rothi",43.8,5.5,-40.29,-68.45,-40.29,-68.45,27.7,-3.76,10.57,31.46,27.7,-3.76,10.57,31.46,"Reptile",38.3,11.7766666666667,6.72333333333334,5.05333333333336,"Block_18"
"Iguanidae","Liolaemus","salinicola",48.21,14.2,-27.48,-67.64,-27.48,-67.64,22.53,-2.07,12.02,24.6,22.53,-2.07,12.02,24.6,"Reptile",34.01,19.1933333333333,15.0966666666667,4.0966666666666,"Block_18"
"Iguanidae","Liolaemus","scapularis",45.57,9.39,-26.59,-66.16,-26.59,-66.16,23.47,-3.16,12.26,26.63,23.47,-3.16,12.26,26.63,"Reptile",36.18,12.98,9.06666666666667,3.91333333333333,"Block_18"
"Iguanidae","Liolaemus","sp.1",45,7.3,-37.4,-67.11,-37.4,-67.11,33.22,0.39,16.18,32.83,33.22,0.39,16.18,32.83,"Reptile",37.7,19.02,14.3266666666667,4.6933333333333,"Block_18"
"Iguanidae","Liolaemus","telsen",44.6,8.98,-42.39,-64.59,-42.39,-64.59,29.65,1.4,14.54,28.25,29.65,1.4,14.54,28.25,"Reptile",35.62,17.1433333333333,11.7733333333333,5.37,"Block_18"
"Iguanidae","Liolaemus","xanthoviridis",44.48,7.86,-43.74,-65.58,-43.74,-65.58,28,0.22,13.09,27.78,28,0.22,13.09,27.78,"Reptile",36.62,14.7366666666667,9.92666666666667,4.81000000000003,"Block_18"
"Iguanidae","Phymaturus","antofagastensis",41.4,11.8,-27.16,-68.43,-27.16,-68.43,13.44,-8.65,4.11,22.09,13.44,-8.65,4.11,22.09,"Reptile",29.6,-5.10333333333333,-11.1033333333333,5.99999999999997,"Block_18"
"Iguanidae","Phymaturus","indistinctus",44.7,7,-45.43,-69.6,-45.43,-69.6,22.29,-2.71,8.86,25,22.29,-2.71,8.86,25,"Reptile",37.7,10.3966666666667,5.58,4.8166666666667,"Block_18"
"Iguanidae","Phymaturus","palluma",44.6,11.5,-30.3,-69.78,-30.3,-69.78,11.29,-9.26,1.32,20.56,11.29,-9.26,1.32,20.56,"Reptile",33.1,-3.33333333333334,-10.8966666666667,7.56333333333336,"Block_18"
"Iguanidae","Phymaturus","somuncurensis",42.8,5.7,-41.58,-69.37,-41.58,-69.37,24.03,-4.87,8.02,28.9,24.03,-4.87,8.02,28.9,"Reptile",37.1,10.2433333333333,4.8,5.4433333333333,"Block_18"
"Iguanidae","Phymaturus","tenebrosus",39.9,9.8,-41.08,-70.95,-41.08,-70.95,22.27,-3.33,7.72,25.6,22.27,-3.33,7.72,25.6,"Reptile",30.1,7.42333333333333,4.37666666666667,3.04666666666666,"Block_18"
"Iguanidae","Phymaturus","zapalensis",42.4,8.9,-39.67,-70.6,-39.67,-70.6,24.63,-2.54,9.23,27.16,24.63,-2.54,9.23,27.16,"Reptile",33.5,9.02333333333333,6.04666666666667,2.97666666666666,"Block_18"
"Iguanidae","Phymaturus","dorsimaculatus",41.9,10.5,-37.8,-70.7,-37.8,-70.7,26.28,-2.82,10.02,29.09,26.28,-2.82,10.02,29.09,"Reptile",31.4,9.15,5.99666666666666,3.15333333333334,"Block_18"
"Iguanidae","Anolis","cristatellus",37.1,8.9,18.5,-66.14,18.5,-66.14,31.91,20.13,26.3,11.79,31.91,20.13,26.3,11.79,"Reptile",28.2,30.7066666666667,22.7,8.0066666666667,"Block_1"
"Iguanidae","Anolis","cooki",38.8,9.3,18.1,-66.9,18.1,-66.9,29.37,19.11,24.51,10.25,29.37,19.11,24.51,10.25,"Reptile",29.5,29.8,20.6233333333333,9.1766666666667,"Block_1"
"Iguanidae","Sceloporus","merriami",41.5,14.1,29.2,-103,29.2,-103,35.46,1.71,19.76,33.75,35.46,1.71,19.76,33.75,"Reptile",27.4,37.5766666666667,7.16,30.4166666666667,"Block_1"
